원본 출처,L1 대분류,L1 소분류,L1 중분류,QID,구분,연도
2023 KMLE 3교시 16번,내과,뇌하수체 후엽 질환,내분비,,임상의학,
2026 KMLE 1교시 8번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2021 KMLE 1교시 44번,산부인과,자궁내막증,부인과-생식내분비,,임상의학,
2022 KMLE 4교시 12번,소아청소년과,내분비 질환,각론,,임상의학,
2022 KMLE 1교시 5번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2021 KMLE 1교시 70번,예방의학,물리적 환경,환경 및 산업보건,,인문사회의학,
2026 KMLE 1교시 80번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2021 KMLE 4교시 55번,소아청소년과,심혈관 질환,각론,,임상의학,
2026 KMLE 2교시 10번,내과,철결핍빈혈,혈액,,임상의학,
2026 KMLE 2교시 18번,외과,위와 샘창자(십이지장),외과각론,SGSP00900026,임상의학,
2022 KMLE 1교시 45번,외과,"지혈, 출혈 및 수혈",외과총론,SGGN00200006,임상의학,
2021 KMLE 1교시 58번,예방의학,역학적 연구방법론,역학,,인문사회의학,
2025 KMLE 1교시 72번,예방의학,건강증진과 보건교육,건강증진/의료윤리,,인문사회의학,
2025 KMLE 4교시 41번,소아청소년과,소아의 영양,총론,,임상의학,
2021 KMLE 4교시 34번,내과,안정형 협심증,순환기,,임상의학,
2026 KMLE 2교시 9번,정신건강의학과,정신과적 평가(임상검사),기초,,임상의학,
2021 KMLE 3교시 55번,외과,위와 샘창자(십이지장),외과각론,SGSP00900010,임상의학,
2024 KMLE 3교시 4번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 2교시 17번,내과,심장응급질환,순환기,,임상의학,
2026 KMLE 1교시 79번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2022 KMLE 2교시 6번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2023 KMLE 3교시 12번,소아청소년과,신생아 질환,총론,,임상의학,
2021 KMLE 2교시 44번,정신건강의학과,성격장애(인격장애),질환,,임상의학,
2026 KMLE 2교시 8번,정신건강의학과,기분 장애,질환,,임상의학,
2025 KMLE 3교시 30번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 2교시 16번,내과,중추신경계 감염,감염,,임상의학,
2025 KMLE 4교시 10번,내과,기계보조환기,호흡기,,임상의학,
2021 KMLE 4교시 29번,마이너,"이과학(바깥귀, 고막, 중이염, 어지럼)",이비인후과,,임상의학,
2024 KMLE 1교시 5번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2025 KMLE 1교시 68번,예방의학,의료보장,의료관리,,인문사회의학,
2026 KMLE 2교시 7번,마이너,결막·각막 질환,안과,,임상의학,
2026 KMLE 1교시 78번,의료법규,보건관계의료법규 개론,의료법규,,인문사회의학,
2026 KMLE 1교시 22번,외과,소장,외과각론,SGSP01000005,임상의학,
2022 KMLE 3교시 28번,마이너,뇌부종/뇌압항진/뇌수종,신경과/신경외과,,임상의학,
2026 KMLE 2교시 15번,정신건강의학과,불안장애,질환,,임상의학,
2024 KMLE 4교시 51번,마이너,"구강·인두과학(타액선, 편도선)",이비인후과,,임상의학,
2025 KMLE 2교시 24번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2025 KMLE 3교시 45번,산부인과,성폭행,부인과-기타,,임상의학,
2021 KMLE 3교시 29번,산부인과,가족계획,부인과-일반,,임상의학,
2022 KMLE 4교시 47번,내과,폐렴,호흡기,,임상의학,
2026 KMLE 1교시 77번,정신건강의학과,정신과적 평가(임상검사),기초,,임상의학,
2026 KMLE 2교시 6번,외과,갑상샘,외과각론,SGSP00200010,임상의학,
2024 KMLE 4교시 52번,외과,위와 샘창자(십이지장),외과각론,SGSP00900007,임상의학,
2025 KMLE 3교시 14번,내과,내분비 대사질환 개요,내분비,,임상의학,
2025 KMLE 1교시 1번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2022 KMLE 2교시 70번,외과,위와 샘창자(십이지장),외과각론,SGSP00900020,임상의학,
2022 KMLE 1교시 64번,예방의학,의료보장,의료관리,,인문사회의학,
2026 KMLE 1교시 76번,예방의학,질병 및 사망분포의 측정,역학,,인문사회의학,
2024 KMLE 3교시 1번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 2교시 14번,내과,감염질환 개요,감염,,임상의학,
2022 KMLE 4교시 80번,내과,심부전,순환기,,임상의학,
2025 KMLE 1교시 17번,의료법규,마약류관리에 관한 법률,의료법규,,인문사회의학,
2025 KMLE 2교시 8번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2021 KMLE 5교시 18번,외과,담낭과 담도,외과각론,SGSP01500010,임상의학,
2024 KMLE 2교시 21번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2026 KMLE 1교시 75번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2022 KMLE 1교시 79번,의료법규,연명의료결정법,의료법규,,인문사회의학,
2026 KMLE 2교시 5번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 2교시 13번,산부인과,분만 중 태아 건강 평가,산과-분만관리,,임상의학,
2024 KMLE 2교시 28번,소아청소년과,종양성 질환,각론,,임상의학,
2022 KMLE 4교시 37번,내과,ST분절 상승 심근경색,순환기,,임상의학,
2022 KMLE 1교시 52번,산부인과,무월경,부인과-생식내분비,,임상의학,
2023 KMLE 1교시 7번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2026 KMLE 2교시 4번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2023 KMLE 2교시 80번,내과,저혈당,내분비,,임상의학,
2026 KMLE 2교시 12번,소아청소년과,신생아 질환,총론,,임상의학,
2025 KMLE 2교시 10번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2024 KMLE 3교시 79번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2022 KMLE 3교시 74번,내과,간 종양,소화기-간담췌,,임상의학,
2026 KMLE 2교시 3번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2024 KMLE 1교시 4번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2026 KMLE 2교시 11번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2022 KMLE 2교시 68번,소아청소년과,호흡기 질환,각론,,임상의학,
2025 KMLE 2교시 77번,소아청소년과,발달,총론,,임상의학,
2022 KMLE 2교시 53번,정신건강의학과,물질관련 장애(알코올/약물),질환,,임상의학,
2026 KMLE 2교시 2번,외과,갑상샘,외과각론,SGSP00200009,임상의학,
2026 KMLE 1교시 74번,예방의학,역학의 기본원리(역학적 개념),역학,,인문사회의학,
2026 KMLE 2교시 20번,정신건강의학과,정신사회적 치료,치료,,임상의학,
2024 KMLE 4교시 22번,내과,췌장 질환,소화기-간담췌,,임상의학,
2026 KMLE 1교시 23번,소아청소년과,예방 소아과학,총론,,임상의학,
2026 KMLE 2교시 1번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 2교시 19번,외과,간,외과각론,SGSP01400003,임상의학,
2021 KMLE 5교시 36번,내과,빈맥성 부정맥,순환기,,임상의학,
2026 KMLE 1교시 73번,예방의학,임상예방의학과 건강진단,건강증진/의료윤리,,인문사회의학,
2024 KMLE 2교시 33번,내과,서맥성 부정맥,순환기,,임상의학,
2022 KMLE 1교시 9번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2026 KMLE 1교시 72번,예방의학,건강증진과 보건교육,건강증진/의료윤리,,인문사회의학,
2023 KMLE 2교시 49번,외과,유방,외과각론,SGSP00100013,임상의학,
2022 KMLE 4교시 8번,내과,갑상샘 기능이상,내분비,,임상의학,
2026 KMLE 1교시 71번,예방의학,의료자원과 관리,의료관리,,인문사회의학,
2025 KMLE 2교시 6번,소아청소년과,호흡기 질환,각론,,임상의학,
2022 KMLE 3교시 68번,내과,서맥성 부정맥,순환기,,임상의학,
2024 KMLE 1교시 30번,내과,갑상샘 기능이상,내분비,,임상의학,
2025 KMLE 4교시 21번,내과,빈혈에 대한 접근,혈액,,임상의학,
2022 KMLE 2교시 3번,내과,천식,호흡기,,임상의학,
2022 KMLE 2교시 43번,내과,신대체요법,신장,,임상의학,
2021 KMLE 5교시 10번,내과,폐결핵,호흡기,,임상의학,
2022 KMLE 3교시 21번,외과,위와 샘창자(십이지장),외과각론,SGSP00900021,임상의학,
2025 KMLE 2교시 72번,내과,류마티스질환의 접근,류마티스,,임상의학,
2023 KMLE 3교시 3번,마이너,두통,신경과/신경외과,,임상의학,
2024 KMLE 1교시 73번,예방의학,환경오염,환경 및 산업보건,,인문사회의학,
2023 KMLE 1교시 53번,내과,기관지확장증,호흡기,,임상의학,
2026 KMLE 1교시 48번,산부인과,무월경,부인과-생식내분비,,임상의학,
2022 KMLE 1교시 35번,내과,림프종,혈액,,임상의학,
2023 KMLE 1교시 59번,예방의학,의료보장,의료관리,,인문사회의학,
2025 KMLE 1교시 43번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2024 KMLE 3교시 12번,내과,혈소판 장애,혈액,,임상의학,
2022 KMLE 2교시 10번,정신건강의학과,기분 장애,질환,,임상의학,
2024 KMLE 4교시 58번,소아청소년과,심혈관 질환,각론,,임상의학,
2024 KMLE 1교시 70번,예방의학,건강증진과 보건교육,건강증진/의료윤리,,인문사회의학,
2026 KMLE 1교시 29번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2025 KMLE 1교시 7번,의료법규,연명의료결정법,의료법규,,인문사회의학,
2025 KMLE 4교시 70번,내과,고혈압,순환기,,임상의학,
